,pfx_x,pfx_z,launch_speed,release_speed,release_spin_rate,total_movement,strikeout,hbp_bb,home_run,pitch_type_CH,pitch_type_CS,pitch_type_CU,pitch_type_EP,pitch_type_FA,pitch_type_FC,pitch_type_FF,pitch_type_FO,pitch_type_FS,pitch_type_KC,pitch_type_KN,pitch_type_SI,pitch_type_SL,pitch_type_ST,pitch_type_SV
191,1.3353846153846154,0.2665384615384615,75.7,84.4,1723.0384615384614,1.3617249437699257,0.10891089108910891,0.009900990099009901,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,1.0317857142857143,0.8803571428571428,81.2,78.8,1665.25,1.3563224023747722,0.03529411764705882,0.03529411764705882,0.023529411764705882,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,1.12822695035461,0.7495744680851064,81.3,83.5,1661.2695035460993,1.3545323675392678,0.10091743119266056,0.02018348623853211,0.011009174311926606,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,1.124814814814815,0.7629629629629631,85.9,84.8,1648.5555555555557,1.3591618190929695,0.011764705882352941,0.011764705882352941,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,1.1546236559139784,0.6567741935483871,78.1,86.0,1608.6666666666667,1.3283478942307605,0.058823529411764705,0.008403361344537815,0.0028011204481792717,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,1.3704040404040403,0.9372727272727274,77.2,79.6,2019.4343434343434,1.6602672674135857,0.07878787878787878,0.01818181818181818,0.00909090909090909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,1.1946590909090908,0.8662500000000001,80.8,87.0,1824.1931818181818,1.475669138388323,0.02857142857142857,0.0,0.02142857142857143,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,1.3598850574712644,0.6101149425287357,82.4,83.4,1929.5057471264367,1.4904789876514417,0.0262582056892779,0.019693654266958426,0.010940919037199124,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0.9397391304347825,0.8363478260869566,82.2,81.3,1833.8347826086956,1.2580092684359283,0.05397727272727273,0.019886363636363636,0.002840909090909091,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,0.9536655948553053,0.9651446945337622,79.6,78.7,2082.951768488746,1.3568280466578633,0.10775862068965517,0.009698275862068966,0.00646551724137931,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,1.2506976744186047,0.5288372093023256,77.5,82.8,1613.2325581395348,1.3579077533981379,0.03592814371257485,0.023952095808383235,0.005988023952095809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0.8282222222222223,0.15694444444444444,84.7,84.8,1704.4722222222222,0.8429612138317465,0.06996587030716724,0.017064846416382253,0.006825938566552901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,1.082,0.7716666666666666,83.2,88.2,1763.1666666666667,1.3289821083989222,0.06363636363636363,0.01818181818181818,0.00909090909090909,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0.7934545454545454,0.7381818181818182,83.1,83.4,1623.2545454545455,1.0837354439145628,0.05063291139240506,0.006329113924050633,0.02531645569620253,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,1.06,0.15719101123595505,80.8,77.9,1547.7640449438202,1.0715918131515294,0.12359550561797752,0.011235955056179775,0.011235955056179775,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
